Cycle:        0 || Inst at 0x0             | NOP (idle)              | NOP (idle)              | NOP (idle)              | NOP (idle)              |
Cycle:        1 || Inst at 0x0             | NOP (idle)              | NOP (idle)              | NOP (idle)              | NOP (idle)              |
Cycle:        2 || Inst at 0x0             | NOP (bubble)            | NOP (idle)              | NOP (idle)              | NOP (idle)              |
Cycle:        3 || Inst at 0x0             | NOP (bubble)            | NOP (bubble)            | NOP (idle)              | NOP (idle)              |
Cycle:        4 || Inst at 0x0             | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            | NOP (idle)              |
Cycle:        5 || Inst at 0x0             | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            |
Cycle:        6 || Inst at 0x0             | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            |
Cycle:        7 || Inst at 0x4             | addi t0, zero, 60       | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            |
Cycle:        8 || Inst at 0x8             | addi t5, zero, 108      | addi t0, zero, 60       | NOP (bubble)            | NOP (bubble)            |
Cycle:        9 || Inst at 0xc             | lw t5, 0(t5)            | addi t5, zero, 108      | addi t0, zero, 60       | NOP (bubble)            |
Cycle:       10 || Inst at 0x10            | addi t2, zero, 1        | lw t5, 0(t5)            | addi t5, zero, 108      | addi t0, zero, 60       |
Cycle:       11 || Inst at 0x10            | NOP (idle)              | addi t2, zero, 1        | lw t5, 0(t5)            | addi t5, zero, 108      |
Cycle:       12 || Inst at 0x10            | NOP (idle)              | addi t2, zero, 1        | lw t5, 0(t5)            | NOP (bubble)            |
Cycle:       13 || Inst at 0x10            | NOP (idle)              | addi t2, zero, 1        | lw t5, 0(t5)            | NOP (bubble)            |
Cycle:       14 || Inst at 0x10            | NOP (idle)              | addi t2, zero, 1        | lw t5, 0(t5)            | NOP (bubble)            |
Cycle:       15 || Inst at 0x10            | NOP (idle)              | addi t2, zero, 1        | lw t5, 0(t5)            | NOP (bubble)            |
Cycle:       16 || Inst at 0x10            | NOP (idle)              | addi t2, zero, 1        | lw t5, 0(t5)            | NOP (bubble)            |
Cycle:       17 || Inst at 0x10            | NOP (idle)              | addi t2, zero, 1        | lw t5, 0(t5)            | NOP (bubble)            |
Cycle:       18 || Inst at 0x10            | NOP (idle)              | addi t2, zero, 1        | lw t5, 0(t5)            | NOP (bubble)            |
Cycle:       19 || Inst at 0x10            | NOP (idle)              | addi t2, zero, 1        | lw t5, 0(t5)            | NOP (bubble)            |
Cycle:       20 || Inst at 0x10            | NOP (bubble)            | NOP (idle)              | addi t2, zero, 1        | lw t5, 0(t5)            |
Cycle:       21 || Inst at 0x10            | NOP (bubble)            | NOP (bubble)            | NOP (idle)              | addi t2, zero, 1        |
Cycle:       22 || Inst at 0x10            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            | NOP (idle)              |
Cycle:       23 || Inst at 0x10            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            |
Cycle:       24 || Inst at 0x10            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            |
Cycle:       25 || Inst at 0x14            | sw t2, 0(t0)            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            |
Cycle:       26 || Inst at 0x18            | sw t2, 4(t0)            | sw t2, 0(t0)            | NOP (bubble)            | NOP (bubble)            |
Cycle:       27 || Inst at 0x1c            | addi t1, t5, -2         | sw t2, 4(t0)            | sw t2, 0(t0)            | NOP (bubble)            |
Cycle:       28 || Inst at 0x1c            | addi t1, t5, -2         | sw t2, 4(t0)            | sw t2, 0(t0)            | NOP (bubble)            |
Cycle:       29 || Inst at 0x1c            | addi t1, t5, -2         | sw t2, 4(t0)            | sw t2, 0(t0)            | NOP (bubble)            |
Cycle:       30 || Inst at 0x1c            | addi t1, t5, -2         | sw t2, 4(t0)            | sw t2, 0(t0)            | NOP (bubble)            |
Cycle:       31 || Inst at 0x1c            | addi t1, t5, -2         | sw t2, 4(t0)            | sw t2, 0(t0)            | NOP (bubble)            |
Cycle:       32 || Inst at 0x1c            | addi t1, t5, -2         | sw t2, 4(t0)            | sw t2, 0(t0)            | NOP (bubble)            |
Cycle:       33 || Inst at 0x1c            | addi t1, t5, -2         | sw t2, 4(t0)            | sw t2, 0(t0)            | NOP (bubble)            |
Cycle:       34 || Inst at 0x1c            | addi t1, t5, -2         | sw t2, 4(t0)            | sw t2, 0(t0)            | NOP (bubble)            |
Cycle:       35 || Inst at 0x1c            | addi t1, t5, -2         | sw t2, 4(t0)            | sw t2, 0(t0)            | NOP (bubble)            |
Cycle:       36 || Inst at 0x20            | lw t3, 0(t0)            | addi t1, t5, -2         | sw t2, 4(t0)            | sw t2, 0(t0)            |
Cycle:       37 || Inst at 0x20            | lw t3, 0(t0)            | addi t1, t5, -2         | sw t2, 4(t0)            | NOP (bubble)            |
Cycle:       38 || Inst at 0x20            | lw t3, 0(t0)            | addi t1, t5, -2         | sw t2, 4(t0)            | NOP (bubble)            |
Cycle:       39 || Inst at 0x20            | lw t3, 0(t0)            | addi t1, t5, -2         | sw t2, 4(t0)            | NOP (bubble)            |
Cycle:       40 || Inst at 0x20            | lw t3, 0(t0)            | addi t1, t5, -2         | sw t2, 4(t0)            | NOP (bubble)            |
Cycle:       41 || Inst at 0x20            | lw t3, 0(t0)            | addi t1, t5, -2         | sw t2, 4(t0)            | NOP (bubble)            |
Cycle:       42 || Inst at 0x20            | lw t3, 0(t0)            | addi t1, t5, -2         | sw t2, 4(t0)            | NOP (bubble)            |
Cycle:       43 || Inst at 0x20            | lw t3, 0(t0)            | addi t1, t5, -2         | sw t2, 4(t0)            | NOP (bubble)            |
Cycle:       44 || Inst at 0x20            | lw t3, 0(t0)            | addi t1, t5, -2         | sw t2, 4(t0)            | NOP (bubble)            |
Cycle:       45 || Inst at 0x20            | NOP (idle)              | lw t3, 0(t0)            | addi t1, t5, -2         | sw t2, 4(t0)            |
Cycle:       46 || Inst at 0x20            | NOP (bubble)            | NOP (idle)              | lw t3, 0(t0)            | addi t1, t5, -2         |
Cycle:       47 || Inst at 0x20            | NOP (bubble)            | NOP (bubble)            | NOP (idle)              | lw t3, 0(t0)            |
Cycle:       48 || Inst at 0x20            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            | NOP (idle)              |
Cycle:       49 || Inst at 0x20            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            |
Cycle:       50 || Inst at 0x20            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            |
